rank,description,company_name,state,industry,country,revenue,profits,assets,market_value,profits_rank,assets_rank,market_value_rank,employees,revenue_rank,ceo_name,ceo_title,city,year_founded,web_site
1,"JPMorgan Chase & Co. is a financial holding company, which engages in the provision of financial and investment banking services. The firm focuses on investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing, and asset management. It operates through the following segments: Consumer and Community Banking (CCB), Commercial and Investment Bank (CIB), Asset and Wealth Management (AWM), and Corporate. The CCB segment originates and services mortgage loans. The CIB segment makes markets and services clients across fixed income, foreign exchange, equities, and commodities. The AWM segment provides initial capital investments in products such as mutual funds and capital invested alongside third-party investors. The Corporate segment manages its liquidity, funding, capital, structural interest rate, and foreign exchange risks. The company was founded in 1799 and is headquartered in New York, NY.",JPMorganChase,New York,Banking,United States,284791,58630,4900475,797985,10,5,17,318512,19,Jamie Dimon,Chief Executive Officer,New York,1799,http://www.jpmorganchase.com
2,"Amazon.com, Inc. is a multinational technology company, which engages in the provision of online retail shopping services. It operates through the following segments: North America, International, and Amazon Web Services (AWS). The North America segment offers retail sale of consumer products, including from sellers, advertising, and subscriptions services through North America-focused online and physical stores. The International segment focuses on retail sale of consumer products, including sellers, advertising, and subscription services through internationally focused online stores. The AWS segment is composed of global sales of computers, storage, databases, and other services for start-ups, enterprises, government agencies, and academic institutions. The company was founded by Jeffrey P. Bezos in July 1994 and is headquartered in Seattle, WA.",Amazon,Washington,Retailing,United States,742776,90798,916630,2841380,6,52,5,1576000,1,Andrew R. Jassy,Chief Executive Officer,Seattle,1994,http://www.amazon.com
3,"Berkshire Hathaway, Inc. is a holding company, which engages in the provision of property and casualty insurance and reinsurance, utilities and energy, freight rail transportation, finance, manufacturing, and retailing services. It operates through the following segments: Insurance, Burlington Northern Santa Fe, LLC (BNSF), Berkshire Hathaway Energy (BHE), Pilot Travel Centers (PTC), Manufacturing, McLane, and Service and Retailing. The Insurance segment includes the underwriting of GEICO, Berkshire Hathaway Primary Group, and Berkshire Hathaway Reinsurance Group. The BNSF segment involves the operation of railroad systems. The BHE segment focuses on regulated electric and gas utility, power generation and distribution, and real estate brokerage activities. The PTC segment consists of managing travel centers and marketing of wholesale fuel. The Manufacturing segment refers to industrial, consumer and building products, home building, and related financial services. The McLane segment covers the wholesale distribution of groceries and non-food items. The Service and Retailing segment relates to the provision of shared aircraft ownership programs, aviation pilot training, electronic components distribution, retailing businesses, automobile dealerships and trailer, and furniture leasing services. The company was founded by Oliver Chace in 1839 and is headquartered in Omaha, NE.",Berkshire Hathaway,Nebraska,Insurance,United States,375394,72471,1252271,1041121,7,37,13,387815,10,Gregory Edward Abel,Chief Executive Officer,Omaha,1839,http://www.berkshirehathaway.com
4,"Alphabet, Inc. is a holding company, which engages in software, health care, transportation, and other technologies. It operates through the following segments: Google Services, Google Cloud, and Other Bets. The Google Services segment includes products and services, such as ads, Android, Chrome, devices, Google Maps, Google Play, Search, and YouTube. The Google Cloud segment refers to infrastructure and platform services, collaboration tools, and other services for enterprise customers. The Other Bets segment relates to the sale of healthcare-related services and internet services. The company was founded by Lawrence E. Page and Sergey Mikhaylovich Brin on October 2, 2015 and is headquartered in Mountain View, CA.",Alphabet,California,IT Software & Services,United States,423165,160208,703919,4807434,1,70,2,190820,6,Sundar Pichai,Chief Executive Officer,Mountain View,2015,http://abc.xyz
5,"Saudi Arabian Oil Co. is engages in the production, transportation, and sale of energy and chemicals. It also offers prospecting, exploring, drilling, extracting, processing, manufacturing, refining and marketing hydrocarbon substances. The company operates through the following segments: Upstream, Downstream, and Corporate. The Upstream segment consists of exploring for, developing and producing crude oil, natural gas and natural gas liquids exploration, field development and production. The Downstream segment includes refining and petrochemical manufacturing, supply and trading, distribution and power generation, logistics, and marketing of crude oil and related services to international and domestic customers. The Corporate segment refers supporting services including human resources, finance and IT not allocated to Upstream and Downstream. Saudi Arabian Oil was founded on May 29, 1933 and is headquartered in Dhahran, Saudi Arabia.",Saudi Arabian Oil Company (Saudi Aramco),,Oil & Gas Operations,Saudi Arabia,455531,99298.4,709364,1785651,5,68,8,76664,3,Amin bin Hasan Al-Nasser,Chief Executive Officer,Dhahran,1933,http://aramco.com
6,"Industrial & Commercial Bank of China Ltd. engages in the provision of commercial banking and financial services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Operations, and Others. The Corporate Banking segment provides corporate loans, trade financing, deposit-taking activities, corporate wealth management services, custody activities, and various types of corporate intermediary services to corporations, government agencies and financial institutions. The Personal Banking segment offers personal loans, deposit-taking activities, card business, personal wealth management services, and various types of personal intermediary services to individual customers. The Treasury Operations segment covers money market transactions, investment securities, foreign exchange transactions and the holding of derivative positions, for its own account or on behalf of customers. The Others segment includes assets, liabilities, income, and expenses that cannot be allocated to a segment. The company was founded on January 1, 1984 and is headquartered in Beijing, China.",ICBC,,Banking,China,210257,51271.4,8073389,313617,13,1,43,409758,29,Jun Liu,CEO,Beijing,2011,http://www.icbc.com.cn
7,"Bank of America Corp. is a bank and financial holding company, which engages in the provision of banking and nonbank financial services. It operates through the following segments: Consumer Banking, Global Wealth and Investment Management (GWIM), Global Banking, Global Markets, and All Other. The Consumer Banking segment offers credit, banking, and investment products and services to consumers and small businesses. The GWIM segment focuses on solutions to meet clients’ needs through a full set of investment management, brokerage, banking, and retirement products. The Global Banking segment deals with lending-related products and services, integrated working capital management and treasury solutions to clients, and underwriting and advisory services. The Global Markets segment includes sales and trading services, as well as research, to institutional clients across fixed-income, credit, currency, commodity, and equity businesses. The All Other segment consists of asset and liability management activities, equity investments, non-core mortgage loans and servicing activities, the net impact of periodic revisions to the mortgage servicing rights valuation model for both core and non-core MSRs, other liquidating businesses, residual expense allocations and other. The company was founded by Amadeo Peter Giannini in 1904 and is headquartered in Charlotte, NC.",Bank of America,North Carolina,Banking,United States,195001,31816,3496186,353197,19,8,36,213000,33,Brian Thomas Moynihan,Chief Executive Officer,Charlotte,1904,http://www.bankofamerica.com
7,"Microsoft Corp. engages in the development and support of software, services, devices, and solutions. It operates through the following segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment is composed of products and services relating to productivity, communication, and information services such as Office Commercial, Office Consumer, LinkedIn, and Dynamics business solutions. The Intelligent Cloud segment consists of public, private, and hybrid server products and cloud services for businesses and developers, as well as enterprise and partner services. The More Personal Computing segment refers to products and services including Windows operating system, Windows cloud services, Surface, HoloLens, personal computer accessories, Xbox hardware, Xbox Cloud Gaming, Microsoft News, and Microsoft Edge. The company was founded by Paul Gardner Allen and William Henry Gates, III in 1975 and is headquartered in Redmond, WA.",Microsoft,Washington,IT Software & Services,United States,318273,125216,694228,3134203,2,74,4,228000,16,Satya Nadella,Chief Executive Officer,Redmond,1975,http://www.microsoft.com
9,"China Construction Bank Corp. engages in the provision of corporate and personal banking services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Business, and Others. The Corporate Banking segment provides a range of financial products and services to corporations, government agencies, and financial institutions, which comprises of corporate loans, trade financing, deposit taking, and wealth management services, agency services, financial consulting, and advisory services, cash management services, remittance and settlement services, custody services, and guarantee services. The Personal Banking segment includes personal loans, deposit taking and wealth management services, card business, remittance services, and agency services to individual customers. The Treasury segment represents inter-bank money market transactions, repurchase and resale transactions, investments in debt securities, and trade of derivatives and foreign currency. The Others segment refers to equity investments and revenues, results, assets and liabilities of overseas branches and subsidiaries. The company was founded in October 1954 and is headquartered in Beijing, China.",China Construction Bank,,Banking,China,192274,48164.7,6822770,293338,14,3,49,378344,35,Zhang Jianguo,CEO,Beijing,1954,http://www.ccb.com
10,"Agricultural Bank of China Ltd. engages in the provision of international commercial banking and financial services. It operates through the following segments: Corporate Banking, Personal Banking, Treasury Operations, and Others. The Corporate Banking segment provides financial products and services to corporations, government agencies and financial institutions. The Personal Banking segment provides financial products and services to individual customers. The Treasury Operations segment conducts money market or repurchases transactions, debt instrument investments, and holding of derivative positions. The company was founded on July 10, 1951 and is headquartered in Beijing, China.",Agricultural Bank of China,,Banking,China,196084,39195.5,7386777,272654,15,2,55,,32,Zhiheng Wang,CEO,Beijing,1951,http://www.abchina.com
